ROI,Set,Object Class,Mean green (44411C83-609B-4758-93D3-FF62DF246855),Standard deviation green (4B11667E-1449-440f-8D7B-0A4D90E62B3E),Mean red (44411C83-609B-4758-93D3-FF62DF246855),Standard deviation red (4B11667E-1449-440f-8D7B-0A4D90E62B3E),Mean LidarCHM (44411C83-609B-4758-93D3-FF62DF246855),Standard deviation LidarCHM (4B11667E-1449-440f-8D7B-0A4D90E62B3E),Mean VARI (44411C83-609B-4758-93D3-FF62DF246855),Compactness (1F03F8EB-A21A-4d53-B9DA-391FFE1B804D),Asymmetry (D9CC01FF-7C3D-4861-9608-38D8EB2D3CCC),Roundness (10DB8137-DB64-4e20-803F-9356BF3DB4A8),GLCM Mean (all dir.) (36BF5FD8-6AC1-4ef2-A967-255B5ACF270B),GLCM StdDev (all dir.) (A8922BC5-0EB5-416b-90C4-AF11449257FB)
B,Train,Eucalyptus propinqua,28.53285217,10.53420639,15.99730206,8.350370407,14.5539608,5.452578068,0.169470221,4.345087051,0.797022641,2.619683981,126.9616089,32.60707092
B,Train,Eucalyptus propinqua,42.47005844,18.36157227,30.70973778,16.35871506,15.24610138,8.049724579,0.105889998,2.480446339,0.799313784,1.43115747,127.4264297,35.06911087
B,Train,Eucalyptus propinqua,96.97636414,43.19912338,87.67375183,43.56201172,19.54097748,7.937674046,0.035730179,2.877477884,0.405215323,1.625271082,127.4941101,36.55156708
B,Train,Eucalyptus racemosa,121.9311752,40.92959976,108.8756561,39.26102448,20.14028549,7.24987793,0.039354466,2.764159441,0.113197878,1.714742661,129.0452728,38.14774704
B,Train,Eucalyptus racemosa,157.0582733,50.09540176,144.4857941,49.84937286,23.84114647,2.642830849,0.029039085,2.964171648,0.535341144,1.396989584,126.9548264,37.10406876
B,Train,Eucalyptus racemosa,188.124649,47.41264725,178.5647736,46.86633301,20.75102425,3.812945366,0.018120907,3.097598076,0.16386874,1.453618884,126.6982193,37.40449524
B,Train,Eucalyptus racemosa,190.0505066,49.45145035,182.2635193,48.91766739,19.40960884,5.98260355,0.014554345,3.036618948,0.37119627,1.729177237,125.5099945,37.61317062
B,Train,Eucalyptus racemosa,199.883667,32.06151581,194.0522308,32.34853745,20.6511898,7.829277515,0.010307482,2.337400675,0.316045374,1.548168302,124.9876709,38.373806
B,Train,Eucalyptus racemosa,204.4542236,43.87324524,195.570816,44.90657806,10.95342922,10.18068123,0.015563242,2.238814116,0.324866354,1.16712594,126.0088882,36.8278923
B,Train,Eucalyptus racemosa,207.9746399,31.21945953,198.1959381,33.02262115,23.69357491,3.819030523,0.01678168,2.433171511,0.84791851,1.565736055,125.2160568,37.71082306
B,Train,Eucalyptus siderophloia,155.3828735,51.30168915,142.9715271,51.53962708,20.61019135,7.232596874,0.029540466,3.670378447,0.552006543,2.124937773,128.6677399,37.33153534
B,Train,Eucalyptus siderophloia,211.6185455,29.70885468,200.2079315,31.55220413,18.94219208,7.411852837,0.019223962,3.578633308,0.258557677,2.23328042,124.8140335,37.58570099
B,Train,Eucalyptus siderophloia,226.3382721,34.42020416,216.1998444,40.23157501,16.91927719,3.963221073,0.016184842,2.824467897,0.395083308,1.490653992,126.0403442,36.05835724
B,Train,Eucalyptus siderophloia,236.3405609,20.65077209,228.6985474,24.22793579,21.36782837,6.029536247,0.011532378,2.244876862,0.2838431,1.24199295,126.540062,33.7944603
B,Train,Eucalyptus siderophloia,237.9039154,11.89175797,234.068161,13.3786974,18.63642693,2.964202642,0.005522584,3.709259748,0.749334753,1.639543414,121.1346741,39.37059021
B,Train,Grass,114.9177017,33.2822876,109.8008118,34.49468613,0.081978671,0.305296719,0.016245222,5.083265781,0.623030066,2.433156729,127.54879,37.14543152
B,Train,Grass,123.370285,34.34363174,101.8649826,34.62953568,0.141545966,0.428439081,0.06971629,2.551479816,0.327148169,1.591486096,127.3924179,37.06870651
B,Train,Grass,147.9641266,34.89622498,148.1799774,33.25173187,0,0,-0.000536853,2.482520342,0.45602724,1.623377442,128.8603668,37.73112869
B,Train,Grass,158.6736908,32.63586044,151.429718,31.99221992,0,0,0.017238619,2.441766977,0.702188551,1.528407574,129.3427582,38.17165756
B,Train,Grass,164.7348633,36.99646759,154.6777344,38.34315109,0.034583285,0.181944653,0.023064956,2.106757402,0.21243149,1.371996403,126.5601273,36.65402603
B,Train,Grass,167.849472,44.38934708,157.211792,43.82901001,0.305323392,0.362128615,0.023877995,2.290740013,0.707162619,1.428142786,126.7532806,36.54958344
B,Train,Grass,170.9135895,27.09080505,170.4119568,26.44451141,0.047383185,0.60765028,0.001077762,2.5080266,0.718439102,1.476518869,127.5751801,36.64788055
B,Train,Grass,175.953186,34.48319626,182.3888397,33.25780106,0.141564861,0.937749922,-0.013189196,2.246561766,0.702293754,1.110446334,127.4508362,36.70164871
B,Train,Grass,177.0628357,29.27358818,167.178299,30.02674675,0.447868019,1.503551722,0.020840932,3.416096687,0.281775415,2.071091175,127.985527,36.32817459
B,Train,Grass,178.8018188,37.01773453,160.2849274,36.31534576,0.462584436,0.462942392,0.040273424,2.119303942,0.543683469,1.163636088,127.0069427,36.3432045
B,Train,Grass,182.9981537,30.86429787,184.1338654,28.84375,0,0,-0.00224926,2.373948336,0.564354002,1.414466143,127.9974289,36.73366165
B,Train,Grass,185.8431702,40.59141541,193.1483459,37.83953476,0,0,-0.014237355,2.812270403,0.424238205,1.851400614,128.7743073,37.63256454
B,Train,Grass,192.5094452,31.86323166,184.1586456,30.97613525,0.185718045,0.365259528,0.016143242,2.848515511,0.753458679,1.458046556,126.1358414,37.1095047
B,Train,Grass,193.5149689,30.86944389,184.8527222,30.76607513,1.50461638,3.186146736,0.016703954,2.209712029,0.624955416,1.045556307,125.7729111,37.43698502
B,Train,Grass,195.8323822,34.72708893,184.2067566,34.75362396,0.0709574,0.433873653,0.022480117,2.489155769,0.374021202,1.340505719,127.0331039,36.51956558
B,Train,Grass,198.3163605,23.04761124,190.3190308,22.48749542,0.158136174,0.330239326,0.015072875,2.929917097,0.903137326,1.802718282,125.6811371,37.35488129
B,Train,Grass,199.7619171,30.29371834,152.3179169,29.65888214,0,0,0.10135293,1.88125217,0.674353242,0.881846428,127.1181412,36.28537369
B,Train,Grass,200.0925293,22.28960037,192.5296478,22.50186539,0.152042538,0.334968984,0.013934051,4.363354206,0.570741653,2.381077766,125.3304977,37.30475235
B,Train,Grass,200.2459259,28.82339478,200.9650116,27.66644859,0.106533609,0.708967686,-0.001310738,2.240531921,0.413745165,1.042993426,126.8278351,36.52313614
B,Train,Grass,202.3691711,27.46290588,158.365921,28.11103439,0,0,0.091915466,3.053679943,0.701873899,1.714649916,127.3009949,36.36504745
B,Train,Grass,203.0145721,41.80555344,210.831604,39.59810257,0,0,-0.01388532,2.468142033,0.795380592,1.176840425,127.4548721,36.55961609
B,Train,Grass,203.7199707,21.91102791,195.6147614,22.49235535,0,0,0.014608099,2.163710833,0.660492182,1.35135591,126.3527908,36.06874466
B,Train,Grass,206.3547516,22.52098274,199.8860168,25.20224953,0.223366439,0.363115221,0.011669081,2.2880826,0.826776028,1.325591326,127.1417389,35.20925903
