ROI,Set,Object Class,Mean green (44411C83-609B-4758-93D3-FF62DF246855),Standard deviation green (4B11667E-1449-440f-8D7B-0A4D90E62B3E),Mean red (44411C83-609B-4758-93D3-FF62DF246855),Standard deviation red (4B11667E-1449-440f-8D7B-0A4D90E62B3E),Mean LidarCHM (44411C83-609B-4758-93D3-FF62DF246855),Standard deviation LidarCHM (4B11667E-1449-440f-8D7B-0A4D90E62B3E),Mean VARI (44411C83-609B-4758-93D3-FF62DF246855),Compactness (1F03F8EB-A21A-4d53-B9DA-391FFE1B804D),Asymmetry (D9CC01FF-7C3D-4861-9608-38D8EB2D3CCC),Roundness (10DB8137-DB64-4e20-803F-9356BF3DB4A8),GLCM Mean (all dir.) (36BF5FD8-6AC1-4ef2-A967-255B5ACF270B),GLCM StdDev (all dir.) (A8922BC5-0EB5-416b-90C4-AF11449257FB)
B,Train,Lantana camara,65.71389771,16.88594818,22.28930664,11.8241663,0.913033903,0.466361791,0.274423599,1.68578136,0.508067369,1.012586713,126.9875107,35.76460266
B,Train,Lantana camara,71.92684174,34.94353485,38.60018158,28.65973473,1.179992795,0.395208776,0.195779085,2.329546213,0.517299533,1.051321387,127.9208527,36.08764648
B,Train,Lantana camara,72.19111633,31.47192383,37.85375595,26.13493538,1.841012239,1.773336172,0.19835338,2.025800467,0.507258177,1.120122552,127.0839462,35.61673737
B,Train,Lophostemon confertus,104.7130966,52.22385788,77.22901917,47.53102493,24.42883301,2.061173677,0.107522316,2.997678518,0.665715456,1.755587578,128.3304749,37.96440887
B,Train,Lophostemon confertus,105.9400406,49.86219406,78.07833862,45.72982788,10.41279984,4.246659756,0.105830632,3.952106714,0.377010733,2.158615351,127.632431,36.94261551
B,Train,Lophostemon confertus,114.8773804,43.51395798,87.92922974,43.39599228,14.16452408,1.234652042,0.097066842,2.994564533,0.318258077,2.191075087,128.3432617,36.99149704
B,Train,Lophostemon confertus,115.1775818,44.75516891,96.89291382,43.0459137,20.1699276,2.078860521,0.061392315,2.436394453,0.488336414,1.625144243,126.6847229,36.70006943
B,Train,Lophostemon confertus,118.1973648,63.3813324,86.17521667,59.34962845,21.3335743,8.73074913,0.110551484,2.586188555,0.202203885,1.448412538,127.0835114,36.76243973
B,Train,Lophostemon confertus,124.2890167,63.76811981,93.41035461,56.76424789,23.67098236,5.802312851,0.102510102,4.711510181,0.80183202,2.355350733,127.7264862,36.53652191
B,Train,Lophostemon confertus,129.0709229,57.59352493,98.33001709,55.93649673,24.16131783,2.634988546,0.09483742,3.394664526,0.878420353,2.071321726,127.3665695,36.95112228
B,Train,Lophostemon confertus,130.3408966,50.76760483,105.7668533,47.13130569,22.67823601,2.795311451,0.073142134,2.718345881,0.766174972,1.842805147,127.1445541,36.67640305
B,Train,Lophostemon confertus,142.4862213,59.81719971,108.3903198,58.00889587,19.47796059,9.107341766,0.099093296,2.876615286,0.285128295,1.789237976,126.8219452,37.1909256
B,Train,Lophostemon confertus,147.0888977,59.4064064,124.7378464,58.68967819,24.64132118,5.311199665,0.059203129,3.038776636,0.227490529,1.526035428,126.6852798,36.6162262
B,Train,Lophostemon confertus,158.5549316,47.56734467,123.9963608,44.71878052,16.45918465,1.041380763,0.089002639,1.915314078,0.624747038,0.942443848,126.4036255,36.47338486
B,Train,Lophostemon confertus,162.3178558,58.34498596,126.9173508,54.44395828,19.97669411,10.58156681,0.089408055,3.596915483,0.866874814,2.185726881,126.8386002,37.90572357
B,Train,Lophostemon confertus,163.3627319,46.12425613,129.7517548,46.31707001,20.84765434,0.756337643,0.084848501,2.329118967,0.547663808,1.287754416,127.0526199,36.70059586
B,Train,Lophostemon confertus,172.1781616,37.05322647,142.6306305,38.68634415,11.59850979,1.879004598,0.067563973,1.719178915,0.333382457,0.932187259,126.1765594,37.13647461
B,Train,Lophostemon confertus,172.345871,58.50653839,138.7360382,57.74769974,23.31538391,1.247571707,0.080042645,2.612135172,0.764910519,1.698893309,126.4033737,36.77138901
B,Train,Lophostemon confertus,173.2933655,39.99258041,153.6842957,39.68069077,14.88017654,2.001156807,0.043113779,2.784104824,0.412308455,1.899628758,125.7188034,36.95413971
B,Train,Lophostemon confertus,176.669342,44.27348709,152.1677246,49.98956299,27.13611603,1.238686323,0.052499037,2.234354258,0.307987601,1.59224093,126.0860901,37.2066803
B,Train,Lophostemon confertus,178.9939423,42.49550629,151.9023132,45.36222076,16.50016975,1.071947455,0.058913279,2.139261246,0.308075756,1.580240369,125.7825775,37.28586197
B,Train,Lophostemon confertus,179.0356445,35.86516953,159.1658325,39.35064697,16.62781525,1.954651117,0.042036418,2.237984657,0.587188959,1.319657922,125.6750107,37.43860626
B,Train,Lophostemon confertus,181.2290039,39.21762085,155.3965302,43.16532516,14.11928368,2.800211191,0.055781737,2.309768438,0.437157512,1.438908577,126.0592804,36.99939346
B,Train,Lophostemon confertus,182.5449982,33.39102173,150.6276398,35.65945053,18.4678154,1.389898539,0.067915738,2.296620369,0.73132658,1.49816978,125.1717529,37.97034454
B,Train,Lophostemon confertus,184.7463989,44.94838715,148.6943054,46.29472351,22.83233261,1.273703694,0.076758541,2.767440319,0.46849218,1.660441279,126.5997543,37.07977295
B,Train,Lophostemon confertus,186.5042267,34.92522812,162.5981445,38.55658722,17.40911102,0.799018562,0.048444614,1.788697839,0.316369861,0.866544962,125.6558533,38.01257706
B,Train,Lophostemon confertus,194.8392487,46.11233521,152.6502228,47.50658035,26.90989876,4.909205437,0.088240661,2.709300518,0.488601297,1.223107338,125.8537445,36.96020126
B,Train,Lophostemon confertus,198.7736511,51.4737854,163.5554962,52.17797852,24.84719086,6.256322384,0.070749618,2.357083559,0.477984667,1.130037904,126.008728,37.2679863
B,Train,Lophostemon confertus,199.3871613,46.30163193,163.6010895,47.57263947,25.84344482,1.149755836,0.07111682,1.957555652,0.345718354,1.003621817,125.8665619,37.29763794
B,Train,Lophostemon confertus,202.1611938,43.36982727,168.7257233,45.25032043,24.65436745,1.586844921,0.064821817,2.3820014,0.251952648,1.724524617,125.2653656,37.8072052
B,Train,Lophostemon confertus,204.4914551,32.18546677,179.3600769,39.67824173,16.41397095,8.256327629,0.046386134,2.18266058,0.790420651,1.192564249,125.9840622,36.78547287
B,Train,Lophostemon confertus,205.5422211,44.2166748,174.4812927,48.18499756,22.89364624,4.1023283,0.059503041,3.084299088,0.351620585,1.717366576,125.6300278,37.61377335
B,Train,Lophostemon confertus,205.9147034,48.1292038,174.485199,52.74268723,26.03035927,1.406334519,0.061197352,1.990340829,0.495273441,1.2018224,126.2839661,36.79382324
B,Train,Lophostemon confertus,206.759079,39.22065735,170.7246399,40.25026321,23.10169983,1.911297441,0.069347426,2.069129705,0.305507094,0.988567948,126.4591522,36.33049393
B,Train,Lophostemon confertus,207.3167267,39.13085175,177.0486145,43.67278671,14.30138493,2.330807447,0.057151791,3.115905285,0.93063736,1.954277515,126.10466,37.10650253
B,Train,Lophostemon confertus,207.7369232,40.08257675,170.22995,42.79203415,22.62083244,6.687771797,0.07114999,3.13427186,0.902152061,2.160852194,125.9025421,37.46055222
B,Train,Lophostemon confertus,210.9376526,40.34704971,175.3019409,44.04215622,26.50769424,0.684659779,0.0661247,2.141540766,0.571443081,1.716694236,124.6854095,38.52027512
B,Train,Lophostemon confertus,215.0862732,41.78836441,181.0867004,45.88796997,19.92833519,7.297480106,0.062010895,2.44165802,0.748122215,1.790787458,125.6019974,37.06431198
B,Train,Lophostemon confertus,216.3471375,39.0241127,183.6350098,46.55902863,22.67425919,0.893616199,0.058393903,1.769898295,0.138457015,1.011523128,125.4591446,37.65553284
B,Train,Lophostemon confertus,220.3664551,35.39708328,195.801651,41.05791092,16.4823513,2.598855972,0.043839231,2.295007229,0.546299696,1.5552634,125.9770813,36.54568481
B,Train,Lophostemon confertus,220.7893372,38.8269577,189.4689178,46.4811821,15.6822958,1.248202324,0.05603011,2.094395399,0.635084987,1.564208508,126.1075134,36.69811249
B,Train,Lophostemon confertus,220.9767609,40.170578,185.0462036,46.04722214,16.77126503,1.568901777,0.065803185,2.47704339,0.738732278,1.431806326,125.5421982,36.76502991
B,Train,Lophostemon confertus,221.7476501,35.28907776,193.5443268,41.58476257,25.45385933,2.152820587,0.049546167,2.256144285,0.814798772,1.515785456,126.1629639,36.35397339
B,Train,Lophostemon confertus,230.5605927,29.02844048,196.8377228,39.62322235,13.83106232,3.847962618,0.059309598,2.063050985,0.497209489,1.246050358,126.1527557,34.76992798
B,Train,Lophostemon confertus,66.13674927,33.81612778,40.96138763,29.78680611,25.82081413,5.909243107,0.155916989,3.175165176,0.578239024,1.981500506,127.8975906,36.05667114
B,Train,Lophostemon confertus,66.55204773,31.92747307,45.76231766,29.23182297,15.32201958,4.288988113,0.122164287,2.698716164,0.62905699,1.43510592,127.0513229,35.40185928
B,Train,Lophostemon confertus,94.530159,45.6517868,76.98252106,43.2845459,14.40650368,3.937833786,0.071060658,4.659603596,0.152256444,2.39711833,127.8751678,37.17895126
B,Train,Lophostemon confertus,95.34371185,42.40807724,72.12193298,38.75411224,11.19118786,4.731694221,0.095570438,2.776887655,0.731065273,1.805794597,126.9528961,36.42035675
B,Train,Pinus elliottii,116.3628006,52.42556,80.61267853,46.06236267,19.88188934,8.976275444,0.129530609,2.476539135,0.734805107,1.73065722,127.8757782,37.44142151
B,Train,Pinus elliottii,146.375351,51.58976364,117.8871155,47.81993103,14.38806725,4.73507452,0.078093141,3.330023766,0.258000433,2.107448816,126.7967682,37.02104187
B,Train,Pinus elliottii,188.1225586,38.04924011,152.2511292,35.25845718,13.76308727,4.863010883,0.07641317,2.126835346,0.318933189,0.894993484,125.9541245,37.12485886
B,Train,Pinus elliottii,188.9953461,45.07249451,156.4565582,43.10976028,13.90860653,1.398574591,0.068478972,2.101241589,0.357998818,1.119992733,126.2197571,37.19697571
B,Train,Pinus elliottii,201.7617188,44.85623169,167.4313202,43.89976501,15.74879551,1.634276986,0.069072254,2.149368286,0.271537244,1.287623882,125.6878357,37.20030594
B,Train,Pinus elliottii,208.5543518,27.99121666,181.1247559,32.03098679,19.62223816,2.714667082,0.051497906,1.830177188,0.601511896,1.033910632,126.1039124,36.8938446
B,Train,Pinus elliottii,209.3015137,43.137146,182.802124,44.21510315,14.26362801,5.10654974,0.049449667,2.039782763,0.328946024,0.916131079,125.7959061,36.91569519
B,Train,Pinus elliottii,211.0995636,34.67568588,197.9334106,40.86905289,12.479846,1.116569757,0.022341875,2.374371767,0.155594304,1.263115883,124.1891022,38.73197937
B,Train,Pinus elliottii,211.1334991,48.04353333,175.4774933,56.44422913,14.31664467,1.987950444,0.066178888,2.489043236,0.593717337,1.132931471,125.5281067,37.18484116
B,Train,Pinus elliottii,212.7833862,23.7680397,193.8100281,27.37844276,20.95430374,1.976563096,0.033160236,2.137870312,0.524844289,1.133657694,125.8914337,36.20042038
B,Train,Pinus elliottii,212.8601532,33.53248596,180.6144714,35.29972839,11.92694855,2.249950886,0.059242595,1.610458255,0.169264331,0.877490282,125.7903061,37.13312912
B,Train,Pinus elliottii,213.2619324,33.72621536,175.8283234,31.60276794,13.87919807,5.867758274,0.070128694,2.259172916,0.490753978,1.221711516,125.3797073,37.56473541
B,Train,Pinus elliottii,214.7494812,41.84622192,189.4663696,45.09237289,14.06951427,2.502781153,0.045117218,3.512155533,0.698753238,2.055896282,125.1780014,37.27852249
B,Train,Pinus elliottii,215.0228577,36.70340347,183.1364899,40.03285599,24.99738693,1.039128304,0.058773059,2.102658987,0.536122203,1.551862478,126.3304062,36.72867966
B,Train,Pinus elliottii,215.0272217,38.54272461,194.222229,41.58337402,8.648467064,3.087440968,0.036581278,2.654244661,0.524756253,1.577876329,126.0978088,35.65688324
B,Train,Pinus elliottii,218.0900421,22.11332321,200.115509,27.25440407,22.41472244,3.431674957,0.03096424,1.860824704,0.314744353,0.855207086,126.4640427,35.77695465
B,Train,Pinus elliottii,219.5350342,25.21316338,192.6052704,28.58040237,20.45552635,2.501014948,0.04787346,1.812087774,0.538064897,0.831453919,126.0886841,36.37485886
B,Train,Pinus elliottii,224.5039673,31.7912178,188.0633545,35.41761398,16.08781624,1.650247335,0.064877927,2.117041349,0.449049741,1.274974942,125.5235367,36.51649094
B,Train,Pinus elliottii,224.6114655,30.19750404,195.8914948,30.76946449,20.8906517,2.284609556,0.049419336,1.93695581,0.599607408,1.160691857,126.186409,35.75505066
B,Train,Pinus elliottii,225.3027802,38.57507324,196.0936127,48.18375015,19.41215134,5.175889492,0.049778279,1.622501373,0.127465799,0.68941313,126.0653381,36.28397751
B,Train,Pinus elliottii,228.474411,33.16125488,203.8375549,40.07685089,13.9690361,2.241108656,0.042451832,2.269523144,0.247854918,1.301322937,125.1289368,36.98087311
B,Train,Pinus elliottii,229.4266205,29.89505005,197.8596802,39.43541718,13.49240398,2.263431549,0.054200932,2.639858007,0.309439868,1.619410753,125.0897522,37.10702133
B,Train,Pinus elliottii,230.2372589,33.70941925,208.7698517,43.19449615,22.61463737,1.035155058,0.035525221,2.005223036,0.347280532,1.029535174,125.6647797,36.26692963
B,Train,Pinus elliottii,244.2791748,16.03771019,231.6786194,25.77597237,20.62335396,7.019812584,0.018854404,2.474482775,0.551881015,1.657896519,125.3050308,34.45491409
B,Train,Structure,149.4235687,42.16801453,203.5510559,38.73165894,2.44109726,0.845401645,-0.110095233,3.483210087,0.706704617,1.878873944,127.6604538,35.86170959
B,Train,Structure,199.3009796,20.93623543,199.8092499,20.9177227,2.270749331,0.375492722,-0.000861413,1.731631398,0.04480489,0.687249899,127.0743027,34.23202896
B,Train,Structure,223.2022858,33.10379028,234.0291443,31.07445335,0.165483192,0.475103676,-0.016314304,1.988805294,0.792077899,1.290510297,124.5749588,35.02497864
B,Train,Structure,247.0027924,14.54398823,248.8111725,12.72467709,0.055888932,0.189653635,-0.002435055,1.995864868,0.673172712,1.369408011,123.9291916,32.68473816
B,Train,Structure,248.3865204,6.453683853,249.4792023,6.681907177,1.104551673,2.06015873,-0.001462545,2.351284504,0.528705955,1.514057755,125.3657227,27.58411598
B,Train,Structure,248.6072693,6.135400772,249.3153687,7.531705379,0.582490146,0.890002191,-0.000948179,1.132828355,0.704307914,0.431552559,127.3036804,25.14397621
B,Train,Structure,250.0751801,2.736572981,198.9202576,4.814579964,0.237734407,0.7428931,0.074218653,1.044096708,0.696017146,0.37798664,127.0238419,29.99427414
B,Train,Structure,250.2785797,1.082617044,250.5205231,1.461960912,0.459779471,0.934475303,-0.000322085,1.190748811,0.831734002,0.461797804,125.8859787,26.4480114
B,Train,Structure,252.3418884,2.963469744,253.0455933,3.128332853,2.393676758,0.489522636,-0.000927797,1.079121113,0.727438211,0.598412097,126.0268173,23.66326141
B,Train,Structure,254.2082367,1.635719657,253.5384369,1.494010687,0.112241186,0.365743488,0.000881442,1.374770045,0.352469027,0.802043557,124.805687,25.28199387
B,Train,Syncarpia verecunda,174.4021149,34.20847321,157.4472046,33.99621964,18.20314026,1.961534858,0.036263902,2.080415726,0.297299176,1.644254923,124.9090424,38.68665695
B,Train,Syncarpia verecunda,34.46910095,15.42659378,26.563591,13.99555588,9.775744438,7.138585567,0.08614891,3.144207001,0.285174817,2.055987358,126.708519,31.19083214
B,Train,Syncarpia verecunda,63.32027435,23.78472519,38.15714645,21.85085869,13.44231033,3.403476477,0.161507666,2.843330145,0.868194044,1.717269182,127.2417831,35.00397873
B,Train,Syncarpia verecunda,74.77371216,36.70175934,48.37759018,33.02902222,15.50661564,2.169854879,0.14624761,2.067708015,0.341740072,1.219726563,126.8456573,35.5530014
B,Train,Water,27.44539261,3.523283243,15.70156288,4.160280228,0.056713283,0.482633293,0.12861827,2.453671455,0.862407327,1.860856414,127.0090561,23.46396065
B,Train,Water,33.21483231,6.204402924,22.5512085,6.432546139,0,0,0.099176526,2.001446247,0.228447676,0.970297813,127.5574265,32.61974335
B,Train,Water,46.61562729,14.15038204,44.64008713,16.820961,4.096755505,4.937072754,0.014032864,4.762164116,0.865766406,2.581552505,127.9497604,34.14879608
B,Train,Water,56.50429153,2.352879047,57.47684097,2.610242844,0,0,-0.00561424,1.434185028,0.712346911,0.524155974,127.0717316,26.56230736
B,Train,Water,58.01040649,2.116200209,58.41139221,2.179543018,0.000331062,0.035557065,-0.002245061,1.974763751,0.437609106,0.980966151,126.8385468,29.91267204
B,Train,Water,62.36206055,2.32609725,63.15118408,2.298581839,0,0,-0.004136511,1.759243369,0.431182086,0.511562705,126.8384476,29.38927841
B,Train,Water,77.05627441,10.27063179,79.06699371,11.6824255,0,0,-0.008839898,3.164141893,0.566717029,1.75874424,125.8633423,34.60443497
C,Train,Corymbia intermedia,112.2617722,36.42720795,138.0142365,40.85398483,19.83724594,6.050052166,-0.064530052,2.934788227,0.577156723,1.690411329,127.0876846,37.0219574
C,Train,Corymbia intermedia,116.4144745,44.56554413,128.0321655,49.65675735,18.94465637,8.814408302,-0.029141817,3.348407745,0.708770692,1.86726892,128.1729126,37.93221283
C,Train,Corymbia intermedia,130.8499146,33.61617661,154.6304474,35.92294693,23.61072922,4.429205418,-0.052658301,1.757071495,0.523162782,0.92557776,126.7830124,36.60761261
C,Train,Corymbia intermedia,134.1078033,25.954319,170.8658142,27.72300148,11.61679363,10.96149349,-0.077524357,2.061790943,0.869025171,1.548038244,127.0569458,36.52778244
C,Train,Corymbia intermedia,151.6895905,19.00894356,185.8825531,19.20378304,20.77649117,4.297549248,-0.06522689,2.81577158,0.785708308,1.770998359,126.1915054,36.67260361
C,Train,Corymbia intermedia,152.149765,37.61830902,186.6486206,38.99795151,16.63324547,7.003929615,-0.063495986,2.202028751,0.705307066,1.212048411,126.335289,35.91028976
C,Train,Corymbia intermedia,156.2680054,39.76213837,186.1801605,41.95853806,23.26661873,0.875819564,-0.055045117,2.728099108,0.407980114,1.385134697,125.0455322,37.69406891
C,Train,Corymbia intermedia,158.2039948,34.83854675,191.3458405,36.37485123,22.0757618,1.534526825,-0.059667919,2.342939854,0.209879041,1.53640759,124.2528458,38.03544617
C,Train,Corymbia intermedia,179.9166718,28.71837044,207.9777222,29.80923462,17.46411514,0.586773098,-0.046018466,2.912656069,0.356088161,2.065872192,123.6017609,39.41966248
C,Train,Corymbia intermedia,72.32914734,31.74106598,74.09596252,35.50872803,23.98040009,1.816456795,-0.007368756,2.20127964,0.894872069,1.401628733,129.9389038,39.00993347
C,Train,Corymbia intermedia,81.21289825,34.19772339,84.17520142,39.53569412,25.67630386,2.540447235,-0.011100382,2.775102615,0.825351417,1.897595525,128.9023132,37.41510391
C,Train,Corymbia intermedia,90.50240326,27.67380142,114.3970642,36.84994125,10.38710308,9.673532486,-0.074722968,2.120239973,0.761837542,1.102883935,126.8504715,35.01046371
C,Train,Corymbia intermedia,97.70089722,28.78446198,108.349762,33.53364182,18.65200615,4.133466244,-0.032633178,3.827189445,0.359284908,2.266872883,130.505188,39.23848724
C,Train,Corymbia tessellaris,101.8115997,42.43064499,112.2376556,49.38254166,17.73195457,5.40692997,-0.031156028,3.125692844,0.828603208,2.276411533,128.3555298,37.72847366
C,Train,Corymbia tessellaris,134.183197,28.77999115,161.6521149,31.9263649,17.71911621,5.895261765,-0.059491184,3.046223879,0.264932036,1.768648148,125.4525299,37.86737442
C,Train,Corymbia tessellaris,150.3016357,47.26464844,176.654892,56.14444733,14.99318695,0.833845258,-0.051418271,2.105230331,0.280308872,1.086679459,125.3156433,38.20121384
C,Train,Corymbia tessellaris,75.02367401,41.694561,80.23674774,46.39232254,10.33660984,5.999516964,-0.020753466,3.844631195,0.73996526,1.770638108,127.395401,37.39967346
C,Train,Corymbia tessellaris,82.67303467,25.57111931,99.44758606,29.74683571,10.43493462,9.631185532,-0.058940627,3.159827232,0.796437383,1.565415978,127.486557,37.53002167
C,Train,Eucalyptus propinqua,102.5753174,39.47612,117.4408798,45.41089249,21.89897346,2.634353399,-0.041981943,2.259799242,0.629181564,1.298091412,128.594986,37.26904678
C,Train,Eucalyptus propinqua,112.6100998,31.80737877,140.8336182,35.57147217,16.6781559,11.36128139,-0.069790289,3.225790977,0.671568811,2.03005743,128.079361,37.91320801
C,Train,Eucalyptus propinqua,117.2374725,23.35440445,148.1627502,24.39736748,20.38201141,5.707046032,-0.072928697,3.038410187,0.786925972,1.471663952,126.1656418,37.16303253
C,Train,Eucalyptus propinqua,127.1031647,27.9400177,149.9300995,29.89313316,24.29837227,5.839791298,-0.052459385,3.068122864,0.715062261,1.889585376,125.2143173,38.1873436
C,Train,Eucalyptus propinqua,133.3961639,33.21044922,162.3171997,33.75368881,5.620224953,3.788622141,-0.059682138,2.290904045,0.438579381,1.123890638,126.6872864,36.64890671
C,Train,Eucalyptus propinqua,139.4644165,43.48813248,155.8914185,49.01617813,16.67749405,9.220462799,-0.035000961,3.649374008,0.41068083,2.035505772,125.6877823,37.40287018
C,Train,Eucalyptus propinqua,140.3553009,41.23680496,157.9268799,45.95370483,23.94924355,5.344779015,-0.037154708,2.823090792,0.308127016,1.34840703,124.617157,38.90571213
C,Train,Eucalyptus propinqua,142.7569275,36.51342773,170.7381134,40.24549866,28.59313202,1.192439318,-0.056425683,2.854683161,0.78070724,2.090909481,127.1896362,36.44597244
C,Train,Eucalyptus propinqua,142.7837677,40.24943161,160.4303741,44.19807053,21.94787216,10.05289841,-0.036237754,3.409413338,0.62068671,2.021267653,124.8558121,37.96278763
C,Train,Eucalyptus propinqua,149.4919434,47.15992355,161.0506439,52.53975677,26.86629486,0.697541952,-0.023737965,2.078975201,0.243705541,1.310168624,126.1951218,37.13910675
C,Train,Eucalyptus propinqua,150.1302185,48.42418289,162.1793213,53.06433868,19.97582817,3.910185099,-0.024380365,2.233767271,0.775010228,1.416220427,125.4683456,38.02920532
C,Train,Eucalyptus propinqua,152.236496,33.32538986,175.5942078,36.28556061,25.87825966,3.312729597,-0.044804346,2.102334023,0.442485631,0.980226517,126.1681061,36.80293655
C,Train,Eucalyptus propinqua,153.7954407,33.13925552,176.2356415,36.42683792,23.68882561,3.930859804,-0.042810589,2.141771555,0.259687006,1.176141858,126.2122803,37.09043121
C,Train,Eucalyptus propinqua,156.1863556,39.79734039,171.1836243,43.24182129,22.24056435,3.330454588,-0.028828045,3.140326023,0.662683904,1.778591037,124.4761887,38.74880981
C,Train,Eucalyptus propinqua,156.4402771,40.94382477,176.8231659,44.24807358,26.54834938,0.855863154,-0.038357519,2.001942635,0.484328002,0.867266119,126.092247,36.74199677
C,Train,Eucalyptus propinqua,159.7246704,23.01756287,182.4488983,24.8666687,29.21938324,3.357901335,-0.042608317,2.003984928,0.538268805,0.8181777,126.3757095,36.1507225
C,Train,Eucalyptus propinqua,161.5747986,26.86698723,182.8132324,30.772995,27.17890167,4.774316311,-0.039798021,1.863705158,0.245644793,1.038502455,126.2490158,36.33101273
C,Train,Eucalyptus propinqua,55.81671143,24.99921417,51.05229187,26.66636086,17.09214783,6.259657383,0.02706081,2.497304678,0.514936805,1.4554528,127.074791,35.61439514
C,Train,Eucalyptus propinqua,59.83850098,28.25045586,68.7743988,31.60487175,26.7625885,2.804478407,-0.044776317,4.25065279,0.600097775,2.288216114,129.900238,38.87974548
C,Train,Eucalyptus propinqua,75.88127136,29.2896843,73.36004639,30.77474022,21.18809128,7.210617542,0.010406049,3.281248569,0.663520932,1.977880478,130.0536652,37.45188904
C,Train,Eucalyptus propinqua,85.34294891,37.26258087,88.86785126,45.92969513,24.32936287,2.602786303,-0.012622678,1.923570037,0.190005153,1.252981544,128.7185669,37.90089417
C,Train,Eucalyptus propinqua,97.97400665,37.17933655,100.6708832,42.90098953,27.96604347,3.066395283,-0.008311496,3.890240431,0.751713753,2.221823454,128.7297974,38.32274246
C,Train,Eucalyptus siderophloia,109.0132675,31.73670959,133.1858978,35.82117462,18.7685051,5.466751575,-0.063401192,2.69452405,0.364170909,1.408991337,126.6827164,36.5055542
C,Train,Eucalyptus siderophloia,115.4951401,36.04648972,138.2879486,40.28779984,17.47647667,2.634888649,-0.056031782,2.238602638,0.579749346,1.442814589,127.1691437,37.09179306
C,Train,Eucalyptus siderophloia,122.0737,32.53001022,146.572464,35.14355087,22.93783569,6.381661892,-0.058721993,1.862864733,0.522177458,1.180601835,127.2279434,37.08887863
C,Train,Eucalyptus siderophloia,128.0488586,41.05117798,148.5389099,44.14892197,23.05379486,6.292483807,-0.046509232,2.711139679,0.801469505,1.518155217,128.3153381,36.90176392
C,Train,Eucalyptus siderophloia,134.1898499,27.42290306,163.7809448,26.69048882,13.24632072,8.515976906,-0.063644066,2.469990015,0.844894946,1.795719504,126.0067825,37.05171204
C,Train,Eucalyptus siderophloia,135.2341309,30.56366158,158.2542267,33.56697083,24.6297245,5.649765015,-0.05021527,2.059051991,0.568920612,1.211139321,127.0862656,36.55014038
C,Train,Eucalyptus siderophloia,135.8755493,34.63903427,152.7845306,36.76415253,21.09433174,1.995115161,-0.037467912,2.330256939,0.77367121,1.625504494,126.0710526,36.93592072
C,Train,Eucalyptus siderophloia,137.3463135,22.89612389,161.3207703,23.00719261,25.77523804,0.965611517,-0.051521827,2.084745646,0.649092972,1.804573536,124.7660065,38.65983582
C,Train,Eucalyptus siderophloia,138.9537659,32.41506577,164.0909424,34.1450882,19.5961895,6.896847725,-0.052750915,2.163432837,0.654581904,1.124946237,126.5158234,36.71249008
C,Train,Eucalyptus siderophloia,139.6693573,24.33288383,158.6758575,26.66949081,25.69258118,2.943577766,-0.04123693,3.848979712,0.43029204,1.980338335,125.8820724,37.63248062
C,Train,Eucalyptus siderophloia,143.7891693,43.94888306,166.0955048,46.79345322,26.84285927,1.174598932,-0.045769371,1.884672523,0.274223506,0.751768708,127.4050903,36.55110168
C,Train,Eucalyptus siderophloia,150.4024658,39.4167099,163.4602051,42.38733673,20.79497719,6.469041348,-0.026221169,2.212647438,0.743836939,1.315837264,124.8369827,37.88860703
C,Train,Eucalyptus siderophloia,154.8680573,48.44120026,170.6613922,52.90333557,17.66929245,1.215812325,-0.031305723,2.378991365,0.539871514,1.227458835,126.0446014,38.0519104
C,Train,Eucalyptus siderophloia,156.4610901,41.55425644,186.5424805,43.13995361,26.01852989,7.827467442,-0.056486957,2.453298092,0.601867497,1.189460635,127.0012131,36.24915695
C,Train,Eucalyptus siderophloia,157.1793823,27.16268539,179.5094299,29.92405128,24.54841423,5.612013817,-0.042273257,2.901433468,0.686369538,1.744482636,125.6836472,36.36499405
C,Train,Eucalyptus siderophloia,157.68396,39.78140259,171.9827118,43.73159027,24.42233276,1.988212943,-0.028326334,2.562797546,0.649205863,1.327020764,126.2775726,37.07653809
C,Train,Eucalyptus siderophloia,159.7845306,37.38424301,180.4695587,40.12966919,16.86347008,6.014840603,-0.039644361,3.663443804,0.667314827,1.750349283,125.4115982,37.75664902
C,Train,Eucalyptus siderophloia,161.9865417,31.59055901,176.5920105,31.24604988,20.20251846,7.171149254,-0.028342659,3.703852892,0.822240829,2.140142202,124.5080338,37.47860336
C,Train,Eucalyptus siderophloia,167.3667297,35.38087845,197.252594,36.17084122,26.13839722,0.749246359,-0.052167762,3.811756611,0.900566161,1.890095592,124.8043289,37.74533463
C,Train,Eucalyptus siderophloia,167.6135864,42.9875412,185.8088684,44.4756813,16.77976608,4.951827049,-0.033538383,3.612741232,0.660702765,2.078286171,126.060112,37.45854187
C,Train,Eucalyptus siderophloia,167.678299,43.28905106,191.5396271,44.92340469,26.82312775,2.212362289,-0.043262701,2.189181805,0.389419258,0.817561984,126.4849396,36.52605438
C,Train,Eucalyptus siderophloia,173.5018005,29.39584351,206.7306519,30.43652916,19.88361931,1.547043085,-0.057191569,2.614091396,0.256788403,1.453719854,126.5941238,36.3804245
C,Train,Eucalyptus siderophloia,174.0371552,38.15505981,191.0168457,39.73013687,25.62124634,10.5110693,-0.030606193,2.111359358,0.696988225,1.289195776,126.2567062,36.91010666
