Object Class;Mean green (44411C83-609B-4758-93D3-FF62DF246855);Standard deviation green (4B11667E-1449-440f-8D7B-0A4D90E62B3E);Mean red (44411C83-609B-4758-93D3-FF62DF246855);Standard deviation red (4B11667E-1449-440f-8D7B-0A4D90E62B3E);Mean LidarCHM (44411C83-609B-4758-93D3-FF62DF246855);Standard deviation LidarCHM (4B11667E-1449-440f-8D7B-0A4D90E62B3E);Mean VARI (44411C83-609B-4758-93D3-FF62DF246855);Compactness (1F03F8EB-A21A-4d53-B9DA-391FFE1B804D);Asymmetry (D9CC01FF-7C3D-4861-9608-38D8EB2D3CCC);Roundness (10DB8137-DB64-4e20-803F-9356BF3DB4A8);GLCM Mean (all dir.) (36BF5FD8-6AC1-4ef2-A967-255B5ACF270B);GLCM StdDev (all dir.) (A8922BC5-0EB5-416b-90C4-AF11449257FB)
Lophostemon confertus;158.865905761719;34.1073226928711;201.690185546875;35.4210014343262;16.8357391357422;2.10707211494446;-0.0720728784799576;2.49569344520569;0.30336919426918;1.58827257156372;125.146865844727;37.082763671875
Lophostemon confertus;159.214004516602;46.0432014465332;211.036880493164;41.8796195983887;20.3466014862061;3.2803328037262;-0.0863988921046257;1.87434840202332;0.281441450119019;0.91040426492691;126.157829284668;35.240406036377
Lophostemon confertus;145.613677978516;37.4161987304688;212.980346679688;39.6812973022461;21.8185043334961;4.21811008453369;-0.113575771450996;1.69229733943939;0.471853941679001;1.32700955867767;125.489501953125;36.4831695556641
Lophostemon confertus;108.386573791504;43.5790481567383;132.995101928711;52.026309967041;19.7090721130371;4.78646087646484;-0.0588252954185009;2.0751314163208;0.727099895477295;1.18605661392212;127.009590148926;37.2487335205078
Lophostemon confertus;67.6205749511719;39.2025451660156;71.3907318115234;45.7537803649902;20.1733055114746;2.20928525924683;-0.0167727191001177;4.3074803352356;0.794254541397095;2.16892385482788;129.534255981445;38.7777252197266
Lophostemon confertus;123.184501647949;46.7743110656738;135.648010253906;54.6520309448242;18.1687602996826;3.39174604415894;-0.0302586238831282;4.17673063278198;0.871910393238068;2.24884271621704;125.780647277832;38.0178070068359
Lophostemon confertus;163.764465332031;46.0006561279297;183.74592590332;46.2652435302734;19.419885635376;3.32833886146545;-0.0363268032670021;3.02411150932312;0.562326371669769;2.01768231391907;124.807540893555;37.5110168457031
Lophostemon confertus;145.821182250977;43.1169013977051;183.583877563477;46.320255279541;19.3507690429688;1.3125913143158;-0.0704808458685875;2.16337442398071;0.712754547595978;1.2710235118866;126.363510131836;36.5493965148926
Lophostemon confertus;141.74006652832;40.0261459350586;189.861953735352;43.4320297241211;18.6299877166748;1.52013802528381;-0.0875757038593292;2.16670274734497;0.436181604862213;1.12034201622009;125.860244750977;36.5646514892578
Lophostemon confertus;84.8623809814453;34.1293716430664;111.852607727051;45.3785934448242;27.9526195526123;1.42292213439941;-0.0782974138855934;3.56754541397095;0.842303812503815;1.70755124092102;130.217849731445;38.1062889099121
Lophostemon confertus;68.3049468994141;34.9209671020508;81.4313430786133;42.7276878356934;20.2938270568848;1.94865679740906;-0.0496049076318741;3.09090423583984;0.478514671325684;2.17125773429871;130.070281982422;38.9826507568359
Lophostemon confertus;83.6912460327148;37.7343101501465;92.6771392822266;42.9947814941406;22.8669376373291;0.917193651199341;-0.030232610180974;3.135746717453;0.317358762025833;1.91657996177673;128.832427978516;38.498836517334
Lophostemon confertus;107.772621154785;33.8659934997559;149.187652587891;36.4826622009277;23.6149024963379;0.893039882183075;-0.0943714082241058;1.82664382457733;0.639987170696259;0.949649214744568;126.679862976074;36.4308013916016
Lantana camara;92.9271240234375;34.3897933959961;79.8913650512695;38.0744132995605;0.297644019126892;0.36887314915657;0.0452070347964764;3.67203783988953;0.633431911468506;1.87486684322357;128.479309082031;37.918327331543
Lantana camara;135.136932373047;41.2338218688965;144.884536743164;42.4325370788574;7.18073701858521;4.76159763336182;-0.0209231767803431;2.76755094528198;0.362452000379562;1.6083722114563;128.581893920898;38.1130867004395
Lantana camara;151.228576660156;33.4723129272461;171.551528930664;35.0448608398438;0.444293558597565;0.51578688621521;-0.0378110967576504;1.69858920574188;0.55382376909256;1.02725791931152;126.511917114258;36.3395805358887
Lantana camara;50.3346405029297;9.81984233856201;19.4451446533203;8.51913833618164;2.11022591590881;0.484491318464279;0.268298864364624;1.94650769233704;0.0253904089331627;0.63834947347641;126.511817932129;33.6772918701172
Lantana camara;151.888122558594;38.1934547424316;169.420425415039;40.7148895263672;0.563110589981079;0.521154463291168;-0.0331474989652634;2.26509094238281;0.57064300775528;0.796242713928223;126.515983581543;36.7635231018066
Lantana camara;53.0109329223633;19.0949459075928;27.781078338623;19.2458686828613;0.999361395835876;0.345779806375504;0.181084260344505;3.48731136322021;0.830808818340302;1.41607892513275;127.935928344727;36.2458953857422
